CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,SNP,2020 Disaster %,2021 Disaster %,2023 Part C Summary,2023 Part D Summary,2023 Overall
H0482 ,Local CCP ,CENTENE VENTURE COMPANY MICHIGAN ,Ascension Complete ,Centene Corporation ,Yes ,0,0,Not enough data available ,2,Not enough data available
H0504 ,Local CCP ,CALIFORNIA PHYSICIANS' SERVICE ,Blue Shield of California ,California Physicians' Service ,No ,100,0,4,3.5,4
H0523 ,Local CCP ,AETNA HEALTH OF CALIFORNIA INC. ,Aetna Medicare ,CVS Health Corporation ,No ,100,0,3.5,3.5,3.5
H0524 ,Local CCP ,"KAISER FOUNDATION HP, INC. ",Kaiser Permanente ,"Kaiser Foundation Health Plan, Inc. ",Yes ,100,0,4.5,5,5
H0543 ,Local CCP ,UHC OF CALIFORNIA ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,3.5,4.5,4
H0544 ,Local CCP ,BLUE CROSS OF CALIFORNIA ,Anthem Blue Cross ,"Elevance Health, Inc. ",Yes ,100,0,3,3,3
H0562 ,Local CCP ,"HEALTH NET OF CALIFORNIA, INC. ",Wellcare by Health Net ,Centene Corporation ,Yes ,100,0,3,2.5,3
H0571 ,Local CCP ,CHINESE COMMUNITY HEALTH PLAN ,CCHP (Chinese Community Health Plan) ,Chinese Hospital Association ,Yes ,100,0,3,3.5,3
H0609 ,Local CCP ,"UnitedHealthcare Benefits of Texas, Inc. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,3.5,3.5,3.5
H0624 ,Local CCP ,"UnitedHealthcare Benefits of Texas, Inc. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,3.5,3.5,4
H0628 ,Local CCP ,AETNA HEALTH OF OHIO INC. ,Aetna Medicare ,CVS Health Corporation ,Yes ,100,0,4,3.5,4
H0630 ,Local CCP ,KAISER FOUNDATION HP OF CO ,Kaiser Permanente ,"Kaiser Foundation Health Plan, Inc. ",Yes ,100,0,4.5,5,5
H0672 ,Local CCP ,"CIGNA HEALTHCARE OF COLORADO, INC. ",Cigna ,CIGNA ,Yes ,100,0,2.5,2.5,2.5
H0710 ,Local CCP ,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,8,5,5,5
H0712 ,Local CCP ,"WELLCARE OF CONNECTICUT, INC. ",Wellcare ,Centene Corporation ,Yes ,100,0,3,2.5,3
H0724 ,Local CCP ,"BUCKEYE HEALTH PLAN COMMUNITY SOLUTIONS, Inc. ",Wellcare by Allwell ,Centene Corporation ,No ,100,0,3,2.5,3
H0738 ,Local CCP ,"AmeriHealth Caritas VIP Next, Inc. ",AmeriHealth Caritas VIP Care ,"Independence Health Group, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0755 ,Local CCP ,"OXFORD HEALTH PLANS (CT), INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,100,48,4,4,4
H0764 ,Local CCP ,"UNITEDHEALTHCARE OF NEW ENGLAND, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0783 ,Local CCP ,"HUMANA BENEFIT PLAN OF TEXAS, INC. ",Humana ,Humana Inc. ,No ,0,100,Not enough data available ,Not enough data available ,Not enough data available
H0798 ,Local CCP ,MEDICA COMMUNITY HEALTH PLAN ,Medica ,Medica Holding Company ,No ,100,0,Not enough data available ,Not enough data available ,Not enough data available
H0826 ,Local CCP ,"INNOVATIVE INTEGRATED HEALTH COMMUNITY PLANS, INC. ",Integrated HealthPlan ,"Innovative Integrated Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0838 ,Local CCP ,"UNIVERSAL CARE, INC. ",Brand New Day ,"Bright Health Group, Inc. ",Yes ,100,0,3,2.5,3
H0876 ,Local CCP ,"Commonwealth Care Alliance Rhode Island, LLC ",CCA Health Rhode Island ,"Commonwealth Care Alliance, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0885 ,Local CCP ,HEALTHIER NEW JERSEY INSURANCE COMPANY ,Braven Health ,"NJ Collaborative Care, LLC ",No ,0,47,4,3.5,4
H0907 ,Local CCP ,"AMERIGROUP IOWA, INC. ",Amerigroup Iowa ,"Elevance Health, Inc. ",Yes ,0,0,Not enough data available ,3.5,Not enough data available
H0908 ,Local CCP ,"BUCKEYE COMMUNITY HEALTH PLAN, INC. ",Wellcare by Allwell ,Centene Corporation ,Yes ,100,0,3,3,3
H0913 ,Local CCP ,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC. ",Wellcare ,Centene Corporation ,Yes ,100,90,3.5,3,3.5
H0927 ,Demo ,HEALTH CARE SERVICE CORPORATION ,Blue Cross Community MMAI ,Health Care Service Corporation ,No ,100,0,Not Applicable ,Not enough data available ,Not enough data available
H0969 ,Local CCP ,WELLCARE HEALTH INSURANCE COMPANY OF NEW HAMPSHIRE ,Wellcare ,Centene Corporation ,No ,100,0,2.5,2.5,3
H0978 ,Local CCP ,"SCAN HEALTH PLAN NEVADA, INC. ",SCAN Health Plan ,SCAN Group ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0982 ,Local CCP ,"SOLIS HEALTH PLANS, INC. ",Solis Health Plans ,"Athena Healthcare Holdings, LLC ",Yes ,100,0,3.5,3,3.5
H1016 ,Local CCP ,"AVMED, INC. ",AvMed Medicare ,"AvMed, Inc. ",No ,100,0,4,4,4
H1019 ,Local CCP ,"CAREPLUS HEALTH PLANS, INC. ","CarePlus Health Plans, Inc. ",Humana Inc. ,Yes ,100,0,3.5,3.5,4
H1032 ,Local CCP ,"Sunshine State Health Plan, Inc. ",Wellcare ,Centene Corporation ,Yes ,100,0,3,3,3
H1035 ,Local CCP ,"FLORIDA BLUE MEDICARE, INC. ",Florida Blue HMO ,Guidewell Mutual Holding Corporation ,Yes ,100,0,3.5,3.5,3.5
H1036 ,Local CCP ,"HUMANA MEDICAL PLAN, INC. ",Humana ,Humana Inc. ,Yes ,100,3,4.5,4,4.5
H1045 ,Local CCP ,"PREFERRED CARE PARTNERS, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,3.5,3.5,3.5
H1099 ,Local CCP ,HEALTH FIRST HEALTH PLANS ,"Health First Health Plans, Inc. ","Health First Shared Services, Inc. ",No ,100,0,3.5,3.5,4
H1109 ,Local CCP ,AETNA HEALTH INC.(GA) ,Aetna Medicare ,CVS Health Corporation ,No ,100,0,4,3.5,3.5
H1111 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,100,0,3.5,3,3.5
H1112 ,Local CCP ,"WELLCARE OF GEORGIA, INC. ",Wellcare ,Centene Corporation ,Yes ,100,0,2.5,3,2.5
H1119 ,Local CCP ,"TSG GUARD, INC. ",Valor Health Plan ,"The Schroer Group, Inc. ",Yes ,100,0,Not enough data available ,5,Not enough data available
H1170 ,Local CCP ,"KAISER FOUNDATION HP OF GA, INC. ",Kaiser Permanente ,"Kaiser Foundation Health Plan, Inc. ",Yes ,100,0,5,5,5
H1181 ,MSA ,NETWORK HEALTH INSURANCE CORPORATION ,Network Health Medicare Advantage Plans ,"Network Health, Inc. ",No ,100,0,3.5,Not Applicable ,Not Applicable
H1189 ,Local CCP ,CHRISTUS HEALTH PLAN ,CHRISTUS Health Plan Generations ,CHRISTUS Health ,No ,100,71,4,3.5,4
H1215 ,Local CCP ,"NEBRASKA TOTAL CARE, INC. ",Wellcare ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1224 ,Local CCP ,LOCAL INITIATIVE HEALTH AUTHORITY FOR LA COUNTY ,L.A. Care Health Plan ,Local Initiative Health Authority for LA County ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1225 ,Local CCP ,"HOPKINS HEALTH ADVANTAGE, INC. ",Johns Hopkins Advantage MD ,Johns Hopkins Healthcare LLC ,Yes ,100,0,3,3.5,3
H1230 ,Local CCP ,"KAISER FOUNDATION HP, INC. ",Kaiser Permanente ,"Kaiser Foundation Health Plan, Inc. ",Yes ,100,0,4.5,5,5
H1248 ,Local CCP ,LOUISIANA HEALTH SERVICE & INDEMNITY COMPANY ,Blue Cross and Blue Shield of Louisiana ,Louisiana Health Service & Indemnity Company ,No ,100,41,5,4,4.5
H1277 ,Local CCP ,"ALIGN SENIOR CARE, INC. ",Align Senior Care ,"Innovative Long Term Care Management, Inc. ",Yes ,100,0,Not enough data available ,Not enough data available ,Not enough data available
H1278 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,100,63,4,4,4
H1280 ,Local CCP ,"ETERNALHEALTH,INC. ",eternalHealth ,"Eternal Health of Delaware, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1290 ,Local CCP ,"DEVOTED HEALTH PLAN OF FLORIDA, INC. ",Devoted Health ,"Devoted Health, Inc. ",Yes ,100,0,4,4,4.5
H1302 ,Local CCP ,"BLUE CROSS OF IDAHO CARE PLUS, INC. ",Blue Cross of Idaho ,"Blue Cross of Idaho Health Services, Inc. ",No ,100,0,3,Not enough data available ,Not enough data available
H1304 ,Local CCP ,REGENCE BLUESHIELD OF IDAHO ,Regence BlueShield Of Idaho ,"Cambia Health Solutions, Inc. ",No ,100,0,3.5,3.5,3.5
H1347 ,Local CCP ,PATRIUS HEALTH INC ,Patrius Health ,BlueCross BlueShield of Alabama ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1350 ,Local CCP ,"BLUE CROSS OF IDAHO CARE PLUS, INC. ",Blue Cross of Idaho ,"Blue Cross of Idaho Health Services, Inc. ",Yes ,100,0,3.5,3,3.5
H1352 ,Local CCP ,"BLUE-ADVANTAGE PLUS OF KANSAS CITY, INC. ",Blue Medicare Advantage ,Blue Cross and Blue Shield of Kansas City ,No ,100,0,4,4.5,4
H1353 ,Local CCP ,"WELLCARE OF WASHINGTON, INC. ",Wellcare ,Centene Corporation ,Yes ,100,0,2.5,2.5,2.5
H1360 ,Local CCP ,"UnitedHealthcare Benefits of Texas, Inc. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,3,3.5,3
H1365 ,Local CCP ,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC. ",Martin's Point Generations Advantage ,"Martin's Point Health Care, Inc. ",No ,100,0,4,4.5,4.5
H1372 ,Local CCP ,"MARQUIS ADVANTAGE, INC. ",AgeRight Advantage ,"Marquis Companies I, Inc. ",Yes ,100,0,Not enough data available ,3.5,Not enough data available
H1375 ,Local CCP ,"UNITEDHEALTHCARE COMMUNITY PLAN OF CALIFORNIA, INC ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,2.5,2.5,2.5
H1395 ,Local CCP ,"NEBRASKA TOTAL CARE, INC. ",Wellcare ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1415 ,Local CCP ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",Cigna ,CIGNA ,No ,100,0,3.5,3,3.5
H1416 ,Local CCP ,"HARMONY HEALTH PLAN,  INC. ",Wellcare ,Centene Corporation ,Yes ,100,1,2.5,2.5,2.5
H1423 ,Local CCP ,"AMERIGROUP OHIO, INC. ",Amerigroup ,"Elevance Health, Inc. ",Yes ,0,0,3,3,3
H1426 ,Local CCP ,"CCA HEALTH PLANS OF CALIFORNIA, INC. ",CCA Health California ,"Commonwealth Care Alliance, Inc. ",No ,100,0,Not enough data available ,2,Not enough data available
H1463 ,Local CCP ,"HEALTH ALLIANCE CONNECT, INC. ",Health Alliance Medicare ,The Carle Foundation ,No ,100,0,4.5,3.5,4
H1468 ,Local CCP ,"HUMANA BENEFIT PLAN OF ILLINOIS, INC. ",Humana ,Humana Inc. ,Yes ,100,0,4.5,3.5,4.5
H1537 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,100,0,4,5,5
H1587 ,Local CCP ,"ARKANSAS SUPERIOR SELECT, INC. ",Tribute Health Plans ,"Select Founders, LLC ",Yes ,100,0,Not enough data available ,4,Not enough data available
H1607 ,Local CCP ,"ANTHEM INSURANCE COMPANIES, INC. ",Anthem Blue Cross and Blue Shield ,"Elevance Health, Inc. ",No ,100,0,4,3.5,4
H1608 ,Local CCP ,COVENTRY HEALTH AND LIFE INSURANCE COMPANY ,Aetna Medicare ,CVS Health Corporation ,Yes ,100,0,3.5,3,3.5
H1609 ,Local CCP ,AETNA HEALTH INC. (FL) ,Aetna Medicare ,CVS Health Corporation ,Yes ,100,0,4,3.5,4
H1610 ,Local CCP ,"COVENTRY HEALTH CARE OF VIRGINIA, INC. ",Aetna Better Health of Virginia ,CVS Health Corporation ,Yes ,100,0,3.5,3,3.5
H1644 ,Local CCP ,"LONGEVITY HEALTH PLAN OF FLORIDA, INC. ",Longevity Health Plan ,"Longevity Health Founders, LLC ",Yes ,100,0,Not enough data available ,3,Not enough data available
H1651 ,1876 Cost ,"MEDICAL ASSOCIATES HEALTH PLAN, INC. ","Medical Associates Health Plan, Inc. ","Medical Associates Clinic, P.C. ",No ,100,0,5,Not Applicable ,Not Applicable
H1659 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,100,0,3,4,3.5
H1664 ,Local CCP ,"HOME STATE HEALTH PLAN, INC. ",Wellcare by Allwell ,Centene Corporation ,Yes ,100,0,2.5,2.5,2.5
H1666 ,Local CCP ,HCSC INSURANCE SERVICES COMPANY ,"Blue Cross and Blue Shield of NM, TX ",Health Care Service Corporation ,No ,100,92,4,3.5,3.5
H1692 ,Local CCP ,"COVENTRY HEALTH CARE OF WEST VIRGINIA, INC. ",Aetna Medicare ,CVS Health Corporation ,Yes ,100,0,3.5,3.5,3.5
H1722 ,Local CCP ,"HEALTHFIRST HEALTH PLAN, INC. ",Healthfirst Medicare Plan ,"Healthfirst, Inc. ",No ,0,100,Not enough data available ,3.5,Not enough data available
H1723 ,Demo ,"ABSOLUTE TOTAL CARE, INC. ",Wellcare Prime by Absolute Total Care ,Centene Corporation ,No ,100,0,Not Applicable ,Not enough data available ,Not enough data available
H1732 ,Local CCP ,"HEALTHPLUS HP, LLC ",Empire BlueCross BlueShield ,"Elevance Health, Inc. ",Yes ,0,87,2.5,2.5,2.5
H1737 ,Local CCP ,"HEALTH ALLIANCE - MIDWEST, INC. ",Health Alliance Medicare ,The Carle Foundation ,No ,100,0,4,3.5,4
H1748 ,Local CCP ,"SONDER HEALTH PLANS, INC. ","Sonder Health Plan, Inc. ","Avian Health Holdings, LLC ",Yes ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H1774 ,Local CCP ,"CENTENE VENTURE COMPANY INDIANA, INC. ",Ascension Complete ,Centene Corporation ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H1777 ,Local CCP ,"CATHOLIC SPECIAL NEEDS PLAN, LLC ",ArchCare Advantage ,Catholic Health Care System ,Yes ,100,55,Not enough data available ,4.5,Not enough data available
H1787 ,Local CCP ,"GOOD SAMARITAN INSURANCE PLAN OF SOUTH DAKOTA, INC ",Great Plains Medicare Advantage ,Sanford Health ,Yes ,100,0,Not enough data available ,4,Not enough data available
H1799 ,Local CCP ,"MOLINA HEALTHCARE OF KENTUCKY, INC. ",Passport Advantage ,"Molina Healthcare, Inc., ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1821 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,3.5,3.5,3.5
H1822 ,Local CCP ,"SCAN DESERT HEALTH PLAN, INC. ",SCAN Desert Health Plan ,SCAN Group ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1846 ,Local CCP ,MOUNT CARMEL HEALTH INSURANCE COMPANY ,MediGold ,Trinity Health Corporation ,No ,100,0,Not enough data available ,3.5,Not enough data available
H1848 ,Local CCP ,"WELLCARE OF ALABAMA, INC. ",Wellcare ,Centene Corporation ,Yes ,0,0,Not enough data available ,2,Not enough data available
H1862 ,Local CCP ,"WELLCARE HEALTH PLANS OF VERMONT, INC. ",Wellcare ,Centene Corporation ,No ,0,0,Not enough data available ,3.5,Not enough data available
H1889 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,100,0,4,4.5,4
H1894 ,Local CCP ,"AMERIGROUP WASHINGTON, INC. ",AMERIGROUP ,"Elevance Health, Inc. ",Yes ,100,0,2.5,2.5,2.5
H1914 ,Local CCP ,"WELLCARE HEALTH INSURANCE OF CONNECTICUT, INC. ",Wellcare ,Centene Corporation ,Yes ,100,0,2.5,2.5,2.5
H1924 ,MSA ,LASSO HEALTHCARE INSURANCE COMPANY ,Lasso Healthcare ,"Zing Health Consolidator, Inc ",No ,100,9,2,Not Applicable ,Not Applicable
H1944 ,Local CCP ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,100,0,4,3.5,4
H1947 ,Local CCP ,"COMMUNITY CARE HEALTH PLAN OF LOUISIANA, INC. ",Healthy Blue ,"Elevance Health, Inc. ",Yes ,100,52,3,3,3
H1951 ,Local CCP ,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC. ",Humana ,Humana Inc. ,Yes ,100,73,5,4.5,5
H1961 ,Local CCP ,"PEOPLES HEALTH, INC. ",Peoples Health ,"UnitedHealth Group, Inc. ",Yes ,100,95,5,4.5,5
H1969 ,Local CCP ,REGENCE BLUESHIELD OF IDAHO ,Regence BlueShield of Idaho ,"Cambia Health Solutions, Inc. ",No ,100,0,4,3.5,4
H1977 ,Demo ,"UPPER PENINSULA HEALTH PLAN, LLC ",Upper Peninsula Health Plan (UPHP) MI Health Link ,"DLP Marquette General Hospital, LLC ",No ,100,0,Not Applicable ,Not enough data available ,Not enough data available
H1993 ,Local CCP ,"ASTIVA HEALTH, INC. ",Astiva Health ,"Astiva Group, LLC ",Yes ,0,0,Not enough data available ,4,Not enough data available
H1994 ,Local CCP ,"SELECTHEALTH, INC. ",SelectHealth ,"Intermountain Health Care, Inc. ",Yes ,100,0,5,5,5
H1997 ,Local CCP ,REGENCE BLUESHIELD ,Regence BlueShield ,"Cambia Health Solutions, Inc. ",No ,100,0,4,4,4
H2001 ,Local CCP ,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,100,21,4.5,4,5
H2029 ,Local CCP ,"HUMANA INSURANCE OF PUERTO RICO, INC. ",Humana ,Humana Inc. ,No ,100,0,Not enough data available ,3.5,Not enough data available
H2032 ,Local CCP ,Baylor Scott & White Insurance Company ,Baylor Scott & White Health Plan ,Baylor Scott & White Holdings ,No ,100,98,5,4,4.5
H2034 ,Local CCP ,"COMMUNITY CARE HEALTH PLAN, INC. ",Community Care ,"Community Care, Inc. ",Yes ,100,0,Not enough data available ,4,Not enough data available
H2056 ,Local CCP ,AETNA BETTER HEALTH OF MICHIGAN INC. ,Aetna Medicare ,CVS Health Corporation ,No ,100,0,3.5,2.5,3
H2108 ,Local CCP ,"BRAVO HEALTH MID-ATLANTIC, INC. ",Cigna ,CIGNA ,Yes ,100,0,3,2.5,3
H2117 ,Local CCP ,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC. ",Wellcare ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2128 ,Local CCP ,CELTIC INSURANCE COMPANY ,Wellcare ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2134 ,Local CCP ,"WESTERN SKY COMMUNITY CARE, INC. ",Wellcare by Allwell ,Centene Corporation ,Yes ,100,0,2,2,2
H2162 ,Local CCP ,"WELLCARE OF NEW HAMPSHIRE, INC. ",Wellcare ,Centene Corporation ,No ,100,0,Not enough data available ,Not enough data available ,Not enough data available
H2168 ,Local CCP ,VILLAGE SENIOR SERVICES CORPORATION ,VillageCareMAX ,"Village Care of New York, Inc. ",Yes ,100,85,3.5,3.5,3.5
H2171 ,Local CCP ,"CARE N' CARE INSURANCE COMPANY, INC. ",Care N' Care Insurance Company ,Texas Health Resources ,No ,100,99,3.5,3,3.5
H2172 ,Local CCP ,KAISER FDTN HLTH PLAN OF THE MID-ATLANTIC STATES ,Kaiser Permanente ,"Kaiser Foundation Health Plan, Inc. ",No ,100,0,4,5,5
H2174 ,Local CCP ,"TRILLIUM COMMUNITY HEALTH PLAN, INC. ",Wellcare by Trillium ,Centene Corporation ,Yes ,100,0,3.5,3,3
