CONTRACT_ID,Organization Marketing Name,Contract Name,Parent Organization,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H0154 ,VIVA Medicare ,"VIVA HEALTH, INC. ","Triton Health Systems, L.L.C. ",5%,15%,11%,6%,6%
H0169 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF THE MIDWEST, INC. ","UnitedHealth Group, Inc. ",19%,19%,13%,Not Available ,12%
H0174 ,Wellcare ,"WELLCARE OF TEXAS, INC. ",Centene Corporation ,26%,32%,16%,Not Available ,24%
H0251 ,UnitedHealthcare ,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC. ","UnitedHealth Group, Inc. ",6%,23%,11%,Not Available ,7%
H0270 ,Wellcare ,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0271 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",16%,19%,29%,Not Available ,14%
H0292 ,Humana ,"HUMANA HEALTH PLAN OF OHIO, INC. ",Humana Inc. ,15%,12%,25%,Not Available ,14%
H0294 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",13%,23%,21%,Not Available ,14%
H0302 ,Blue Cross Blue Shield of Arizona Advantage ,"MEDISUN, INC. ",Blue Cross Blue Shield of Arizona ,14%,14%,22%,7%,7%
H0321 ,UnitedHealthcare ,"ARIZONA PHYSICIANS IPA, INC. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0332 ,KelseyCare Advantage ,"KS PLAN ADMINISTRATORS, LLC ","UnitedHealth Group, Inc. ",22%,22%,18%,Not Available ,18%
H0342 ,CarePartners of Connecticut ,"CAREPARTNERS OF CONNECTICUT, INC. ","Point32Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0351 ,Wellcare by Allwell ,"HEALTH NET OF ARIZONA, INC. ",Centene Corporation ,19%,24%,18%,16%,16%
H0354 ,Cigna ,"CIGNA HEALTHCARE OF ARIZONA, INC. ",CIGNA ,20%,24%,14%,8%,12%
H0363 ,Longevity Health Plan ,"LONGEVITY HEALTH PLAN OF COLORADO, INC. ","Longevity Health Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0422 ,UCare ,"UCARE HEALTH, INC. ",UCare Minnesota ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0423 ,MetroPlus Health Plan ,"METROPLUS HEALTH PLAN, INC. ",New York City Health and Hospitals Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0432 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF THE MIDLANDS, INC. ","UnitedHealth Group, Inc. ",19%,22%,24%,Not Available ,14%
H0439 ,Cigna ,"CIGNA HEALTHCARE OF GEORGIA, INC. ",CIGNA ,18%,23%,28%,Not Available ,16%
H0473 ,Humana ,HUMANA INSURANCE COMPANY OF KENTUCKY ,Humana Inc. ,11%,14%,23%,Not Available ,12%
H0482 ,Ascension Complete ,CENTENE VENTURE COMPANY MICHIGAN ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0504 ,Blue Shield of California ,CALIFORNIA PHYSICIANS' SERVICE ,California Physicians' Service ,16%,24%,20%,12%,11%
H0523 ,Aetna Medicare ,AETNA HEALTH OF CALIFORNIA INC. ,CVS Health Corporation ,14%,20%,17%,Not Available ,9%
H0524 ,Kaiser Permanente ,"KAISER FOUNDATION HP, INC. ","Kaiser Foundation Health Plan, Inc. ",24%,20%,19%,8%,17%
H0543 ,UnitedHealthcare ,UHC OF CALIFORNIA ,"UnitedHealth Group, Inc. ",20%,28%,22%,11%,14%
H0544 ,Anthem Blue Cross ,BLUE CROSS OF CALIFORNIA ,"Elevance Health, Inc. ",27%,26%,23%,16%,21%
H0562 ,Wellcare by Health Net ,"HEALTH NET OF CALIFORNIA, INC. ",Centene Corporation ,15%,25%,20%,Not Available ,16%
H0571 ,CCHP (Chinese Community Health Plan) ,CHINESE COMMUNITY HEALTH PLAN ,Chinese Hospital Association ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0609 ,UnitedHealthcare ,"UnitedHealthcare Benefits of Texas, Inc. ","UnitedHealth Group, Inc. ",26%,22%,16%,8%,13%
H0624 ,UnitedHealthcare ,"UnitedHealthcare Benefits of Texas, Inc. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0628 ,Aetna Medicare ,AETNA HEALTH OF OHIO INC. ,CVS Health Corporation ,20%,23%,26%,Not Available ,16%
H0630 ,Kaiser Permanente ,KAISER FOUNDATION HP OF CO ,"Kaiser Foundation Health Plan, Inc. ",20%,32%,15%,Not Available ,16%
H0672 ,Cigna ,"CIGNA HEALTHCARE OF COLORADO, INC. ",CIGNA ,36%,46%,15%,Not Available ,22%
H0710 ,UnitedHealthcare ,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0712 ,Wellcare ,"WELLCARE OF CONNECTICUT, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0724 ,Wellcare by Allwell ,"BUCKEYE HEALTH PLAN COMMUNITY SOLUTIONS, Inc. ",Centene Corporation ,15%,31%,24%,Not Available ,16%
H0738 ,AmeriHealth Caritas VIP Care ,"AmeriHealth Caritas VIP Next, Inc. ","Independence Health Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0755 ,UnitedHealthcare ,"OXFORD HEALTH PLANS (CT), INC. ","UnitedHealth Group, Inc. ",8%,18%,22%,5%,5%
H0764 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF NEW ENGLAND, INC. ","UnitedHealth Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0783 ,Humana ,"HUMANA BENEFIT PLAN OF TEXAS, INC. ",Humana Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0798 ,Medica ,MEDICA COMMUNITY HEALTH PLAN ,Medica Holding Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0826 ,Integrated HealthPlan ,"INNOVATIVE INTEGRATED HEALTH COMMUNITY PLANS, INC. ","Innovative Integrated Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0838 ,Brand New Day ,"UNIVERSAL CARE, INC. ","Bright Health Group, Inc. ",19%,27%,15%,Not Available ,14%
H0876 ,CCA Health Rhode Island ,"Commonwealth Care Alliance Rhode Island, LLC ","Commonwealth Care Alliance, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0885 ,Braven Health ,HEALTHIER NEW JERSEY INSURANCE COMPANY ,"NJ Collaborative Care, LLC ",23%,21%,24%,19%,23%
H0907 ,Amerigroup Iowa ,"AMERIGROUP IOWA, INC. ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0908 ,Wellcare by Allwell ,"BUCKEYE COMMUNITY HEALTH PLAN, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0913 ,Wellcare ,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0969 ,Wellcare ,WELLCARE HEALTH INSURANCE COMPANY OF NEW HAMPSHIRE ,Centene Corporation ,32%,37%,20%,19%,35%
H0978 ,SCAN Health Plan ,"SCAN HEALTH PLAN NEVADA, INC. ",SCAN Group ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0982 ,Solis Health Plans ,"SOLIS HEALTH PLANS, INC. ","Athena Healthcare Holdings, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1016 ,AvMed Medicare ,"AVMED, INC. ","AvMed, Inc. ",21%,26%,17%,Not Available ,20%
H1019 ,"CarePlus Health Plans, Inc. ","CAREPLUS HEALTH PLANS, INC. ",Humana Inc. ,27%,29%,16%,8%,18%
H1032 ,Wellcare ,"Sunshine State Health Plan, Inc. ",Centene Corporation ,23%,31%,12%,10%,18%
H1035 ,Florida Blue HMO ,"FLORIDA BLUE MEDICARE, INC. ",Guidewell Mutual Holding Corporation ,20%,20%,17%,5%,9%
H1036 ,Humana ,"HUMANA MEDICAL PLAN, INC. ",Humana Inc. ,19%,23%,10%,Not Available ,11%
H1045 ,UnitedHealthcare ,"PREFERRED CARE PARTNERS, INC. ","UnitedHealth Group, Inc. ",23%,30%,19%,Not Available ,12%
H1099 ,"Health First Health Plans, Inc. ",HEALTH FIRST HEALTH PLANS ,"Health First Shared Services, Inc. ",19%,20%,32%,7%,9%
H1109 ,Aetna Medicare ,AETNA HEALTH INC.(GA) ,CVS Health Corporation ,8%,12%,24%,11%,9%
H1111 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",12%,28%,19%,7%,9%
H1112 ,Wellcare ,"WELLCARE OF GEORGIA, INC. ",Centene Corporation ,25%,24%,18%,10%,15%
H1119 ,Valor Health Plan ,"TSG GUARD, INC. ","The Schroer Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1170 ,Kaiser Permanente ,"KAISER FOUNDATION HP OF GA, INC. ","Kaiser Foundation Health Plan, Inc. ",27%,32%,11%,Not Available ,20%
H1181 ,Network Health Medicare Advantage Plans ,NETWORK HEALTH INSURANCE CORPORATION ,"Network Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1189 ,CHRISTUS Health Plan Generations ,CHRISTUS HEALTH PLAN ,CHRISTUS Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1215 ,Wellcare ,"NEBRASKA TOTAL CARE, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1224 ,L.A. Care Health Plan ,LOCAL INITIATIVE HEALTH AUTHORITY FOR LA COUNTY ,Local Initiative Health Authority for LA County ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1225 ,Johns Hopkins Advantage MD ,"HOPKINS HEALTH ADVANTAGE, INC. ",Johns Hopkins Healthcare LLC ,21%,33%,35%,Not Available ,16%
H1230 ,Kaiser Permanente ,"KAISER FOUNDATION HP, INC. ","Kaiser Foundation Health Plan, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1248 ,Blue Cross and Blue Shield of Louisiana ,LOUISIANA HEALTH SERVICE & INDEMNITY COMPANY ,Louisiana Health Service & Indemnity Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1277 ,Align Senior Care ,"ALIGN SENIOR CARE, INC. ","Innovative Long Term Care Management, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1278 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",14%,9%,21%,Not Available ,13%
H1280 ,eternalHealth ,"ETERNALHEALTH,INC. ","Eternal Health of Delaware, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1290 ,Devoted Health ,"DEVOTED HEALTH PLAN OF FLORIDA, INC. ","Devoted Health, Inc. ",16%,42%,13%,Not Available ,15%
H1302 ,Blue Cross of Idaho ,"BLUE CROSS OF IDAHO CARE PLUS, INC. ","Blue Cross of Idaho Health Services, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1304 ,Regence BlueShield Of Idaho ,REGENCE BLUESHIELD OF IDAHO ,"Cambia Health Solutions, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1347 ,Patrius Health ,PATRIUS HEALTH INC ,BlueCross BlueShield of Alabama ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1350 ,Blue Cross of Idaho ,"BLUE CROSS OF IDAHO CARE PLUS, INC. ","Blue Cross of Idaho Health Services, Inc. ",16%,10%,30%,Not Available ,10%
H1352 ,Blue Medicare Advantage ,"BLUE-ADVANTAGE PLUS OF KANSAS CITY, INC. ",Blue Cross and Blue Shield of Kansas City ,18%,11%,28%,9%,10%
H1353 ,Wellcare ,"WELLCARE OF WASHINGTON, INC. ",Centene Corporation ,32%,48%,14%,Not Available ,29%
H1360 ,UnitedHealthcare ,"UnitedHealthcare Benefits of Texas, Inc. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1365 ,Martin's Point Generations Advantage ,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC. ","Martin's Point Health Care, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1372 ,AgeRight Advantage ,"MARQUIS ADVANTAGE, INC. ","Marquis Companies I, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1375 ,UnitedHealthcare ,"UNITEDHEALTHCARE COMMUNITY PLAN OF CALIFORNIA, INC ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1395 ,Wellcare ,"NEBRASKA TOTAL CARE, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1415 ,Cigna ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",CIGNA ,22%,36%,15%,Not Available ,17%
H1416 ,Wellcare ,"HARMONY HEALTH PLAN,  INC. ",Centene Corporation ,20%,34%,21%,7%,13%
H1423 ,Amerigroup ,"AMERIGROUP OHIO, INC. ","Elevance Health, Inc. ",35%,24%,25%,20%,24%
H1426 ,CCA Health California ,"CCA HEALTH PLANS OF CALIFORNIA, INC. ","Commonwealth Care Alliance, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1463 ,Health Alliance Medicare ,"HEALTH ALLIANCE CONNECT, INC. ",The Carle Foundation ,18%,23%,40%,10%,11%
H1468 ,Humana ,"HUMANA BENEFIT PLAN OF ILLINOIS, INC. ",Humana Inc. ,24%,32%,17%,Not Available ,14%
H1537 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1587 ,Tribute Health Plans ,"ARKANSAS SUPERIOR SELECT, INC. ","Select Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1607 ,Anthem Blue Cross and Blue Shield ,"ANTHEM INSURANCE COMPANIES, INC. ","Elevance Health, Inc. ",18%,12%,31%,Not Available ,12%
H1608 ,Aetna Medicare ,COVENTRY HEALTH AND LIFE INSURANCE COMPANY ,CVS Health Corporation ,16%,13%,25%,Not Available ,14%
H1609 ,Aetna Medicare ,AETNA HEALTH INC. (FL) ,CVS Health Corporation ,16%,34%,17%,Not Available ,15%
H1610 ,Aetna Better Health of Virginia ,"COVENTRY HEALTH CARE OF VIRGINIA, INC. ",CVS Health Corporation ,17%,28%,14%,Not Available ,15%
H1644 ,Longevity Health Plan ,"LONGEVITY HEALTH PLAN OF FLORIDA, INC. ","Longevity Health Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1651 ,"Medical Associates Health Plan, Inc. ","MEDICAL ASSOCIATES HEALTH PLAN, INC. ","Medical Associates Clinic, P.C. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1659 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",14%,13%,23%,8%,9%
H1664 ,Wellcare by Allwell ,"HOME STATE HEALTH PLAN, INC. ",Centene Corporation ,28%,28%,21%,Not Available ,16%
H1666 ,"Blue Cross and Blue Shield of NM, TX ",HCSC INSURANCE SERVICES COMPANY ,Health Care Service Corporation ,20%,18%,26%,17%,16%
H1692 ,Aetna Medicare ,"COVENTRY HEALTH CARE OF WEST VIRGINIA, INC. ",CVS Health Corporation ,13%,16%,25%,Not Available ,11%
H1722 ,Healthfirst Medicare Plan ,"HEALTHFIRST HEALTH PLAN, INC. ","Healthfirst, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1732 ,Empire BlueCross BlueShield ,"HEALTHPLUS HP, LLC ","Elevance Health, Inc. ",27%,44%,22%,Not Available ,Not Available
H1737 ,Health Alliance Medicare ,"HEALTH ALLIANCE - MIDWEST, INC. ",The Carle Foundation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1748 ,"Sonder Health Plan, Inc. ","SONDER HEALTH PLANS, INC. ","Avian Health Holdings, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1774 ,Ascension Complete ,"CENTENE VENTURE COMPANY INDIANA, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1777 ,ArchCare Advantage ,"CATHOLIC SPECIAL NEEDS PLAN, LLC ",Catholic Health Care System ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1787 ,Great Plains Medicare Advantage ,"GOOD SAMARITAN INSURANCE PLAN OF SOUTH DAKOTA, INC ",Sanford Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1799 ,Passport Advantage ,"MOLINA HEALTHCARE OF KENTUCKY, INC. ","Molina Healthcare, Inc., ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1821 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",15%,14%,26%,Not Available ,10%
H1822 ,SCAN Desert Health Plan ,"SCAN DESERT HEALTH PLAN, INC. ",SCAN Group ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1846 ,MediGold ,MOUNT CARMEL HEALTH INSURANCE COMPANY ,Trinity Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1848 ,Wellcare ,"WELLCARE OF ALABAMA, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1862 ,Wellcare ,"WELLCARE HEALTH PLANS OF VERMONT, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1889 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",11%,13%,9%,3%,8%
H1894 ,AMERIGROUP ,"AMERIGROUP WASHINGTON, INC. ","Elevance Health, Inc. ",34%,44%,25%,16%,29%
H1914 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF CONNECTICUT, INC. ",Centene Corporation ,23%,37%,23%,Not Available ,28%
H1924 ,Lasso Healthcare ,LASSO HEALTHCARE INSURANCE COMPANY ,"Zing Health Consolidator, Inc ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1944 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ","UnitedHealth Group, Inc. ",17%,18%,23%,8%,12%
H1947 ,Healthy Blue ,"COMMUNITY CARE HEALTH PLAN OF LOUISIANA, INC. ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1951 ,Humana ,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC. ",Humana Inc. ,15%,24%,25%,Not Available ,15%
H1961 ,Peoples Health ,"PEOPLES HEALTH, INC. ","UnitedHealth Group, Inc. ",17%,34%,20%,Not Available ,13%
H1969 ,Regence BlueShield of Idaho ,REGENCE BLUESHIELD OF IDAHO ,"Cambia Health Solutions, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1993 ,Astiva Health ,"ASTIVA HEALTH, INC. ","Astiva Group, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1994 ,SelectHealth ,"SELECTHEALTH, INC. ","Intermountain Health Care, Inc. ",9%,18%,34%,7%,4%
H1997 ,Regence BlueShield ,REGENCE BLUESHIELD ,"Cambia Health Solutions, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2001 ,UnitedHealthcare ,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC. ","UnitedHealth Group, Inc. ",10%,9%,28%,8%,10%
H2029 ,Humana ,"HUMANA INSURANCE OF PUERTO RICO, INC. ",Humana Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2032 ,Baylor Scott & White Health Plan ,Baylor Scott & White Insurance Company ,Baylor Scott & White Holdings ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2034 ,Community Care ,"COMMUNITY CARE HEALTH PLAN, INC. ","Community Care, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2056 ,Aetna Medicare ,AETNA BETTER HEALTH OF MICHIGAN INC. ,CVS Health Corporation ,18%,21%,23%,10%,12%
H2108 ,Cigna ,"BRAVO HEALTH MID-ATLANTIC, INC. ",CIGNA ,26%,43%,24%,Not Available ,16%
H2117 ,Wellcare ,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2128 ,Wellcare ,CELTIC INSURANCE COMPANY ,Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2134 ,Wellcare by Allwell ,"WESTERN SKY COMMUNITY CARE, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2162 ,Wellcare ,"WELLCARE OF NEW HAMPSHIRE, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2168 ,VillageCareMAX ,VILLAGE SENIOR SERVICES CORPORATION ,"Village Care of New York, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2171 ,Care N' Care Insurance Company ,"CARE N' CARE INSURANCE COMPANY, INC. ",Texas Health Resources ,15%,22%,11%,9%,10%
H2172 ,Kaiser Permanente ,KAISER FDTN HLTH PLAN OF THE MID-ATLANTIC STATES ,"Kaiser Foundation Health Plan, Inc. ",25%,45%,24%,9%,19%
H2174 ,Wellcare by Trillium ,"TRILLIUM COMMUNITY HEALTH PLAN, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2185 ,LifeWorks Advantage ,"LIFEWORKS ADVANTAGE, LLC ","Innovative Long Term Care Management, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2196 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ","UnitedHealth Group, Inc. ",19%,40%,12%,Not Available ,14%
H2224 ,Senior Whole Health ,"SENIOR WHOLE HEALTH, LLC ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2225 ,Commonwealth Care Alliance Massachusetts ,"COMMONWEALTH CARE ALLIANCE, INC. ","Commonwealth Care Alliance, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2226 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",Not Available ,31%,12%,Not Available ,14%
H2228 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",17%,15%,30%,Not Available ,9%
H2230 ,Blue Cross Blue Shield of Massachusetts ,"BCBS  OF MASSACHUSETTS HMO BLUE, INC. ","Blue Cross and Blue Shield of Massachusetts, Inc. ",11%,5%,24%,Not Available ,5%
H2235 ,BayCare Health Plans ,"BAYCARE SELECT HEALTH PLANS, INC. ","BayCare Health System, Inc. ",11%,22%,17%,11%,15%
H2237 ,iCare ,INDEPENDENT CARE HEALTH PLAN ,Humana Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2246 ,SelectHealth ,"SELECTHEALTH, INC. ","Intermountain Health Care, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2247 ,UnitedHealthcare ,"UNITEDHEALTHCARE COMMUNITY PLAN, INC. ","UnitedHealth Group, Inc. ",20%,36%,13%,Not Available ,18%
H2256 ,Tufts Health Plan ,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION ,"Point32Health, Inc. ",18%,27%,32%,Not Available ,12%
H2261 ,Blue Cross Blue Shield of Massachusetts ,"BCBS  OF MASSACHUSETTS HMO BLUE, INC. ","Blue Cross and Blue Shield of Massachusetts, Inc. ",11%,20%,25%,8%,5%
H2272 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF NEW ENGLAND, INC. ","UnitedHealth Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
